work_id,district_lgd,constituency_code,work_title,work_description,category,sanctioned_amount,released_amount,expenditure,recommended_date,sanction_date,completion_date,status,physical_progress_pct,has_uc,agency_name,location_name,latitude,longitude,is_scsp,is_tsp,payment_history
ESK-1010,DIST_103,204,Work 11: ROADS_BRIDGES Project at Location 10,Synthetic work description for demo data import,ROADS_BRIDGES,1319476,1319475,1534561,2023-07-02,2023-08-07,2024-01-10,COMPLETED,100,true,Irrigation & Flood Control Dept,Location 10,28.575220,77.221151,true,false,MOBILISATION_ADVANCE:2023-08-30:197921|RUNNING_BILL:2023-12-07:230908|RUNNING_BILL:2024-03-06:230908|RUNNING_BILL:2024-05-24:230908|RUNNING_BILL:2024-08-05:230908|FINAL_BILL:2024-10-19:131948|RETENTION_RELEASE:2025-04-17:65974
ESK-1011,DIST_103,202,Work 12: HEALTH Project at Location 11,Synthetic work description for demo data import,HEALTH,3035592,2883814,3979268,2025-05-22,2025-06-24,2026-07-20,COMPLETED,100,false,Municipal Corporation,Location 11,28.533068,77.325591,false,false,MOBILISATION_ADVANCE:2025-07-24:455339|RUNNING_BILL:2025-10-13:531229|RUNNING_BILL:2026-01-04:531229|RUNNING_BILL:2026-03-28:531229|RUNNING_BILL:2026-06-04:531229|FINAL_BILL:2026-08-18:303559
ESK-1012,DIST_101,202,Work 13: DRINKING_WATER Project at Location 12,Synthetic work description for demo data import,DRINKING_WATER,605581,192575,763034,2025-09-29,2025-10-07,,IN_PROGRESS,24,false,Public Works Department (PWD),Location 12,28.513779,77.233702,false,false,MOBILISATION_ADVANCE:2025-10-19:90837|RUNNING_BILL:2026-02-18:101738
ESK-1013,DIST_104,204,Work 14: OTHER Project at Location 13,Synthetic work description for demo data import,OTHER,1349432,0,1767676,2024-05-11,2024-06-25,,IN_PROGRESS,43,false,Rural Development Agency (DRDA),Location 13,28.638661,77.221661,false,false,
ESK-1014,DIST_102,204,Work 15: EDUCATION Project at Location 14,Synthetic work description for demo data import,EDUCATION,1957700,1957700,2404937,2023-01-24,2023-02-18,2024-02-27,COMPLETED,100,false,Irrigation & Flood Control Dept,Location 14,28.685528,77.190253,false,false,MOBILISATION_ADVANCE:2023-03-04:293655|RUNNING_BILL:2023-07-08:685195|RUNNING_BILL:2023-10-04:685195|FINAL_BILL:2023-12-18:195770|RETENTION_RELEASE:2024-06-15:97885
ESK-1015,DIST_103,201,Work 16: DRINKING_WATER Project at Location 15,Synthetic work description for demo data import,DRINKING_WATER,2626498,393975,3157896,2023-12-19,2024-01-15,2024-05-24,COMPLETED,100,true,Municipal Corporation,Location 15,28.635315,77.234512,true,false,MOBILISATION_ADVANCE:2024-02-11:393975
ESK-1016,DIST_101,201,Work 17: DRINKING_WATER Project at Location 16,Synthetic work description for demo data import,DRINKING_WATER,2908193,2908194,3677682,2022-11-23,2022-12-20,2023-07-13,COMPLETED,100,false,Rural Development Agency (DRDA),Location 16,28.723573,77.393489,false,false,MOBILISATION_ADVANCE:2023-02-02:436229|RUNNING_BILL:2023-05-01:508934|RUNNING_BILL:2023-07-24:508934|RUNNING_BILL:2023-09-24:508934|RUNNING_BILL:2023-12-20:508934|FINAL_BILL:2024-03-04:290819|RETENTION_RELEASE:2024-08-31:145410
ESK-1017,DIST_101,202,Work 18: HEALTH Project at Location 17,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,1566589,0,0,2023-09-28,2023-10-30,,ON_HOLD,27,false,Irrigation & Flood Control Dept,Location 17,28.716277,77.328454,true,false,
ESK-1018,DIST_101,201,Work 19: DRINKING_WATER Project at Location 18,Synthetic work description for demo data import,DRINKING_WATER,2600812,2600812,3473762,2024-04-16,2024-04-28,2024-09-03,COMPLETED,100,true,Public Works Department (PWD),Location 18,28.692888,77.154589,true,false,MOBILISATION_ADVANCE:2024-05-26:390122|RUNNING_BILL:2024-09-13:606856|RUNNING_BILL:2024-11-26:606856|RUNNING_BILL:2025-01-13:606856|FINAL_BILL:2025-03-29:260081|RETENTION_RELEASE:2025-09-25:130041
ESK-1019,DIST_103,201,Work 20: HEALTH Project at Location 19,Synthetic work description for demo data import,HEALTH,332211,231220,458399,2023-08-18,2023-09-09,,IN_PROGRESS,78,false,Irrigation & Flood Control Dept,Location 19,28.737785,77.168689,false,false,MOBILISATION_ADVANCE:2023-09-30:49832|RUNNING_BILL:2024-01-12:90694|RUNNING_BILL:2024-04-10:90694
ESK-1020,DIST_103,201,Work 21: ROADS_BRIDGES Project at Location 20,Synthetic work description for demo data import,ROADS_BRIDGES,1586406,460058,1962113,2026-01-07,2026-01-18,,IN_PROGRESS,20,false,Public Works Department (PWD),Location 20,28.727220,77.293386,false,false,MOBILISATION_ADVANCE:2026-02-02:237961|RUNNING_BILL:2026-05-15:222097
ESK-1021,DIST_102,203,Work 22: ROADS_BRIDGES Project at Location 21,Synthetic work description for demo data import,ROADS_BRIDGES,392802,0,539844,2026-01-26,2026-02-15,,IN_PROGRESS,1,false,Public Works Department (PWD),Location 21,28.742633,77.348742,false,false,
ESK-1022,DIST_104,203,Work 23: HEALTH Project at Location 22,Synthetic work description for demo data import,HEALTH,3906287,640631,4516704,2025-07-30,2025-08-30,,IN_PROGRESS,2,false,Municipal Corporation,Location 22,28.741397,77.315612,false,false,MOBILISATION_ADVANCE:2025-09-09:585943|RUNNING_BILL:2025-12-23:54688
ESK-1023,DIST_104,204,Work 24: ROADS_BRIDGES Project at Location 23,Synthetic work description for demo data import,ROADS_BRIDGES,2231782,2231782,2739759,2023-12-17,2024-01-09,2025-09-16,COMPLETED,100,true,Rural Development Agency (DRDA),Location 23,28.680450,77.372480,false,false,MOBILISATION_ADVANCE:2024-02-09:334767|RUNNING_BILL:2024-06-02:781124|RUNNING_BILL:2024-08-05:781124|FINAL_BILL:2024-10-19:223178|RETENTION_RELEASE:2025-04-17:111589
ESK-1024,DIST_101,201,Work 25: DRINKING_WATER Project at Location 24,Synthetic work description for demo data import,DRINKING_WATER,1139106,170866,1586820,2024-10-15,2024-11-03,2026-07-05,COMPLETED,100,false,Municipal Corporation,Location 24,28.741057,77.156621,false,false,MOBILISATION_ADVANCE:2024-11-26:170866
ESK-1025,DIST_103,202,Work 26: SANITATION Project at Location 25,Synthetic work description for demo data import,SANITATION,1753795,263069,1753795,2026-06-01,2026-07-07,2026-09-05,COMPLETED,65,true,Municipal Corporation,Location 25,28.538724,77.318338,true,false,MOBILISATION_ADVANCE:2026-07-23:263069
ESK-1026,DIST_103,202,Work 27: HEALTH Project at Location 26,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,3568962,1497179,0,2026-03-02,2026-03-19,,ON_HOLD,77,false,Public Works Department (PWD),Location 26,28.550959,77.216509,false,false,MOBILISATION_ADVANCE:2026-04-19:535344|RUNNING_BILL:2026-08-13:961835
ESK-1027,DIST_102,202,Work 28: SANITATION Project at Location 27,Synthetic work description for demo data import,SANITATION,2285837,2285838,2285837,2023-10-05,2023-11-04,2025-03-12,COMPLETED,51,false,Rural Development Agency (DRDA),Location 27,28.584751,77.201975,false,false,MOBILISATION_ADVANCE:2023-11-18:342876|RUNNING_BILL:2024-03-03:533362|RUNNING_BILL:2024-05-27:533362|RUNNING_BILL:2024-08-01:533362|FINAL_BILL:2024-10-15:228584|RETENTION_RELEASE:2025-04-13:114292
ESK-1028,DIST_104,202,Work 29: OTHER Project at Location 28,Synthetic work description for demo data import,OTHER,2739204,410881,2739204,2026-05-12,2026-05-18,2026-09-05,COMPLETED,39,false,Rural Development Agency (DRDA),Location 28,28.564859,77.224849,false,false,MOBILISATION_ADVANCE:2026-05-30:410881
ESK-1029,DIST_103,203,Work 30: EDUCATION Project at Location 29,Synthetic work description for demo data import,EDUCATION,122204,18331,122204,2024-10-29,2024-11-09,2025-11-24,COMPLETED,75,true,Irrigation & Flood Control Dept,Location 29,28.681954,77.385016,false,false,MOBILISATION_ADVANCE:2024-12-15:18331
ESK-1030,DIST_101,203,Work 31: ROADS_BRIDGES Project at Location 30,Synthetic work description for demo data import,ROADS_BRIDGES,3359089,0,0,2026-03-25,2026-04-04,,IN_PROGRESS,26,false,Rural Development Agency (DRDA),Location 30,28.500460,77.254513,true,false,
ESK-1031,DIST_101,203,Work 32: HEALTH Project at Location 31,Synthetic work description for demo data import,HEALTH,2875268,2262836,0,2025-10-23,2025-12-07,,IN_PROGRESS,91,false,Irrigation & Flood Control Dept,Location 31,28.655344,77.249895,false,false,MOBILISATION_ADVANCE:2026-01-17:431290|RUNNING_BILL:2026-03-24:915773|RUNNING_BILL:2026-05-23:915773
ESK-1032,DIST_103,203,Work 33: SANITATION Project at Location 32,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,4893034,0,0,2026-06-23,,,NOT_STARTED,0,false,Rural Development Agency (DRDA),Location 32,28.715689,77.245867,false,true,
ESK-1033,DIST_104,202,Work 34: OTHER Project at Location 33,Synthetic work description for demo data import,OTHER,2178206,326731,2178206,2025-08-28,2025-09-08,2026-09-05,COMPLETED,71,true,Public Works Department (PWD),Location 33,28.564780,77.176169,false,false,MOBILISATION_ADVANCE:2025-10-08:326731
ESK-1034,DIST_104,204,Work 35: ROADS_BRIDGES Project at Location 34,Synthetic work description for demo data import,ROADS_BRIDGES,3066158,1533079,3066158,2026-03-15,2026-05-03,2026-09-05,COMPLETED,40,false,Irrigation & Flood Control Dept,Location 34,28.606570,77.248575,false,false,MOBILISATION_ADVANCE:2026-06-12:459924|RUNNING_BILL:2026-08-31:1073155
ESK-1035,DIST_104,203,Work 36: OTHER Project at Location 35,Synthetic work description for demo data import,OTHER,3301623,2644599,0,2025-08-08,2025-09-20,,IN_PROGRESS,93,false,Rural Development Agency (DRDA),Location 35,28.594970,77.339028,true,false,MOBILISATION_ADVANCE:2025-10-19:495243|RUNNING_BILL:2026-02-05:716452|RUNNING_BILL:2026-04-22:716452|RUNNING_BILL:2026-07-08:716452
ESK-1036,DIST_103,201,Work 37: ROADS_BRIDGES Project at Location 36,Synthetic work description for demo data import,ROADS_BRIDGES,931185,139678,0,2023-12-25,2024-01-17,,IN_PROGRESS,97,false,Irrigation & Flood Control Dept,Location 36,28.502052,77.237374,false,false,MOBILISATION_ADVANCE:2024-02-28:139678
ESK-1037,DIST_102,201,Work 38: EDUCATION Project at Location 37,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,979759,757354,0,2024-10-30,2024-12-14,,ON_HOLD,89,false,Public Works Department (PWD),Location 37,28.545084,77.244159,false,false,MOBILISATION_ADVANCE:2025-01-20:146964|RUNNING_BILL:2025-05-02:610390
ESK-1038,DIST_103,201,Work 39: OTHER Project at Location 38,Synthetic work description for demo data import,OTHER,4306280,645942,0,2022-11-29,2023-01-10,,IN_PROGRESS,82,false,Irrigation & Flood Control Dept,Location 38,28.622797,77.283484,false,false,MOBILISATION_ADVANCE:2023-01-27:645942
ESK-1039,DIST_101,201,Work 40: DRINKING_WATER Project at Location 39,Synthetic work description for demo data import,DRINKING_WATER,747903,747902,747903,2023-07-09,2023-07-16,2023-11-16,COMPLETED,75,true,Public Works Department (PWD),Location 39,28.670793,77.175909,false,false,MOBILISATION_ADVANCE:2023-08-14:112185|RUNNING_BILL:2023-11-03:130883|RUNNING_BILL:2024-01-27:130883|RUNNING_BILL:2024-04-03:130883|RUNNING_BILL:2024-06-13:130883|FINAL_BILL:2024-08-27:74790|RETENTION_RELEASE:2025-02-23:37395
ESK-1040,DIST_101,203,Work 41: OTHER Project at Location 40,Synthetic work description for demo data import,OTHER,394562,394560,394562,2024-05-07,2024-06-11,2025-04-28,COMPLETED,45,false,Irrigation & Flood Control Dept,Location 40,28.673454,77.307891,false,false,MOBILISATION_ADVANCE:2024-06-25:59184|RUNNING_BILL:2024-10-23:69048|RUNNING_BILL:2025-01-12:69048|RUNNING_BILL:2025-03-10:69048|RUNNING_BILL:2025-05-28:69048|FINAL_BILL:2025-08-11:39456|RETENTION_RELEASE:2026-02-07:19728
ESK-1041,DIST_104,201,Work 42: SANITATION Project at Location 41,Synthetic work description for demo data import,SANITATION,1465371,219806,1465371,2025-09-30,2025-11-06,2026-05-15,COMPLETED,76,true,Public Works Department (PWD),Location 41,28.518407,77.354033,true,true,MOBILISATION_ADVANCE:2025-11-22:219806
ESK-1042,DIST_103,202,Work 43: ROADS_BRIDGES Project at Location 42,Synthetic work description for demo data import,ROADS_BRIDGES,689876,103481,689876,2026-04-30,2026-06-18,2026-09-05,COMPLETED,71,true,Public Works Department (PWD),Location 42,28.749453,77.259952,false,false,MOBILISATION_ADVANCE:2026-08-01:103481
ESK-1043,DIST_103,204,Work 44: DRINKING_WATER Project at Location 43,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,4510043,739647,1651156,2023-11-02,2023-12-07,,IN_PROGRESS,2,false,Rural Development Agency (DRDA),Location 43,28.730968,77.322275,false,false,MOBILISATION_ADVANCE:2024-01-13:676506|RUNNING_BILL:2024-04-20:21047|RUNNING_BILL:2024-06-04:21047|RUNNING_BILL:2024-08-25:21047
ESK-1044,DIST_101,203,Work 45: OTHER Project at Location 44,Synthetic work description for demo data import,OTHER,2078768,2078768,2078768,2023-01-27,2023-02-11,2023-11-28,COMPLETED,41,true,Rural Development Agency (DRDA),Location 44,28.600532,77.153047,false,false,MOBILISATION_ADVANCE:2023-03-26:311815|RUNNING_BILL:2023-06-08:727569|RUNNING_BILL:2023-07-31:727569|FINAL_BILL:2023-10-14:207877|RETENTION_RELEASE:2024-04-11:103938
ESK-1045,DIST_101,203,Work 46: DRINKING_WATER Project at Location 45,Synthetic work description for demo data import,DRINKING_WATER,4801651,3442784,0,2024-04-07,2024-04-15,,IN_PROGRESS,81,false,Public Works Department (PWD),Location 45,28.501018,77.199195,false,false,MOBILISATION_ADVANCE:2024-05-29:720248|RUNNING_BILL:2024-08-02:1361268|RUNNING_BILL:2024-10-27:1361268
ESK-1046,DIST_101,203,Work 47: HEALTH Project at Location 46,Synthetic work description for demo data import,HEALTH,1970361,295554,1970361,2025-06-27,2025-07-28,2026-03-27,COMPLETED,55,true,Municipal Corporation,Location 46,28.749462,77.361086,false,false,MOBILISATION_ADVANCE:2025-08-26:295554
ESK-1047,DIST_102,201,Work 48: EDUCATION Project at Location 47,Synthetic work description for demo data import,EDUCATION,1185217,177783,1185217,2026-04-02,2026-05-21,2026-09-05,COMPLETED,54,true,Rural Development Agency (DRDA),Location 47,28.667229,77.216791,false,false,MOBILISATION_ADVANCE:2026-06-17:177783
ESK-1048,DIST_104,203,Work 49: EDUCATION Project at Location 48,Synthetic work description for demo data import,EDUCATION,192297,110956,0,2025-05-05,2025-06-19,,IN_PROGRESS,61,false,Municipal Corporation,Location 48,28.561264,77.352223,false,false,MOBILISATION_ADVANCE:2025-06-30:28845|RUNNING_BILL:2025-10-22:82111
ESK-1049,DIST_104,202,Work 50: DRINKING_WATER Project at Location 49,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,1050341,201665,0,2023-07-04,2023-08-18,,ON_HOLD,6,false,Public Works Department (PWD),Location 49,28.738383,77.176072,false,false,MOBILISATION_ADVANCE:2023-10-01:157551|RUNNING_BILL:2023-12-31:44114
ESK-1050,DIST_103,203,Work 51: EDUCATION Project at Location 50,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,2956249,443437,0,2026-02-12,2026-03-07,,NOT_STARTED,0,false,Municipal Corporation,Location 50,28.567332,77.165469,false,false,MOBILISATION_ADVANCE:2026-03-18:443437|RUNNING_BILL:2026-07-17:0
ESK-1051,DIST_101,202,Work 52: HEALTH Project at Location 51,Synthetic work description for demo data import,HEALTH,3871661,0,0,2022-09-20,2022-10-13,,IN_PROGRESS,77,false,Public Works Department (PWD),Location 51,28.547163,77.257197,false,false,
ESK-1052,DIST_104,201,Work 53: SANITATION Project at Location 52,Synthetic work description for demo data import,SANITATION,1282317,1282316,1282317,2022-12-27,2023-01-22,2023-07-08,COMPLETED,42,true,Irrigation & Flood Control Dept,Location 52,28.642815,77.371135,false,false,MOBILISATION_ADVANCE:2023-02-02:192348|RUNNING_BILL:2023-06-20:224405|RUNNING_BILL:2023-08-29:224405|RUNNING_BILL:2023-11-03:224405|RUNNING_BILL:2024-01-22:224405|FINAL_BILL:2024-04-06:128232|RETENTION_RELEASE:2024-10-03:64116
ESK-1053,DIST_102,204,Work 54: DRINKING_WATER Project at Location 53,Synthetic work description for demo data import,DRINKING_WATER,2330855,349628,2330855,2023-02-10,2023-03-21,2024-07-16,COMPLETED,59,true,Irrigation & Flood Control Dept,Location 53,28.728788,77.233382,true,false,MOBILISATION_ADVANCE:2023-04-24:349628
ESK-1054,DIST_103,204,Work 55: DRINKING_WATER Project at Location 54,Synthetic work description for demo data import,DRINKING_WATER,1797675,1797677,1797675,2022-10-17,2022-11-11,2024-08-05,COMPLETED,61,true,Rural Development Agency (DRDA),Location 54,28.600802,77.375279,false,false,MOBILISATION_ADVANCE:2022-12-08:269651|RUNNING_BILL:2023-03-28:419458|RUNNING_BILL:2023-06-02:419458|RUNNING_BILL:2023-08-10:419458|FINAL_BILL:2023-10-24:179768|RETENTION_RELEASE:2024-04-21:89884
ESK-1055,DIST_103,204,Work 56: DRINKING_WATER Project at Location 55,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,607603,0,607603,2023-03-02,2023-04-09,2024-04-18,COMPLETED,100,false,Rural Development Agency (DRDA),Location 55,28.534915,77.182538,false,true,
ESK-1056,DIST_101,203,Work 57: SANITATION Project at Location 56,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,229565,229566,229565,2023-05-31,2023-06-05,2024-07-01,COMPLETED,100,false,Public Works Department (PWD),Location 56,28.508414,77.213400,false,false,MOBILISATION_ADVANCE:2023-06-28:34435|RUNNING_BILL:2023-10-01:40174|RUNNING_BILL:2023-11-30:40174|RUNNING_BILL:2024-01-17:40174|RUNNING_BILL:2024-03-15:40174|FINAL_BILL:2024-05-29:22957|RETENTION_RELEASE:2024-11-25:11478
ESK-1057,DIST_101,204,Work 58: SANITATION Project at Location 57,Synthetic work description for demo data import,SANITATION,3034496,3034496,3034496,2024-10-15,2024-10-23,2025-05-17,COMPLETED,100,false,Irrigation & Flood Control Dept,Location 57,28.501502,77.192958,true,false,MOBILISATION_ADVANCE:2024-11-04:455174|RUNNING_BILL:2025-02-13:708049|RUNNING_BILL:2025-04-29:708049|RUNNING_BILL:2025-06-30:708049|FINAL_BILL:2025-09-13:303450|RETENTION_RELEASE:2026-03-12:151725
ESK-1058,DIST_101,204,Work 59: ROADS_BRIDGES Project at Location 58,Synthetic work description for demo data import,ROADS_BRIDGES,744229,497144,0,2022-08-28,2022-09-17,,IN_PROGRESS,74,false,Public Works Department (PWD),Location 58,28.530113,77.363012,false,false,MOBILISATION_ADVANCE:2022-10-15:111634|RUNNING_BILL:2023-01-29:192755|RUNNING_BILL:2023-03-22:192755
ESK-1059,DIST_103,203,Work 60: SANITATION Project at Location 59,Synthetic work description for demo data import,SANITATION,2652443,3279936,2652443,2025-06-21,2025-07-24,2026-09-05,COMPLETED,100,false,Public Works Department (PWD),Location 59,28.728106,77.321229,false,false,MOBILISATION_ADVANCE:2025-08-10:397866|RUNNING_BILL:2026-09-05:2882070
ESK-1060,DIST_101,201,Work 61: HEALTH Project at Location 60,Synthetic work description for demo data import,HEALTH,2296780,2296779,2296780,2023-10-13,2023-11-29,2024-08-18,COMPLETED,100,false,Public Works Department (PWD),Location 60,28.676959,77.250887,false,false,MOBILISATION_ADVANCE:2023-12-27:344517|RUNNING_BILL:2024-04-05:535915|RUNNING_BILL:2024-06-27:535915|RUNNING_BILL:2024-09-04:535915|FINAL_BILL:2024-11-18:229678|RETENTION_RELEASE:2025-05-17:114839
ESK-1061,DIST_103,204,Work 62: OTHER Project at Location 61,Synthetic work description for demo data import,OTHER,1209791,1209793,1209791,2025-01-25,2025-03-04,2025-11-19,COMPLETED,100,false,Irrigation & Flood Control Dept,Location 61,28.510064,77.332569,true,false,MOBILISATION_ADVANCE:2025-03-22:181469|RUNNING_BILL:2025-06-25:282285|RUNNING_BILL:2025-08-15:282285|RUNNING_BILL:2025-11-01:282285|FINAL_BILL:2026-01-15:120979|RETENTION_RELEASE:2026-07-14:60490
ESK-1062,DIST_102,203,Work 63: ROADS_BRIDGES Project at Location 62,Synthetic work description for demo data import,ROADS_BRIDGES,1360550,204083,1360550,2024-02-16,2024-03-24,2025-06-16,COMPLETED,100,false,Municipal Corporation,Location 62,28.665099,77.161456,false,false,MOBILISATION_ADVANCE:2024-04-06:204083
ESK-1063,DIST_101,202,Work 64: SANITATION Project at Location 63,Synthetic work description for demo data import,SANITATION,2135809,2135807,2135809,2023-09-02,2023-09-09,2025-03-10,COMPLETED,100,false,Rural Development Agency (DRDA),Location 63,28.673964,77.379463,false,false,MOBILISATION_ADVANCE:2023-10-21:320371|RUNNING_BILL:2024-01-17:498355|RUNNING_BILL:2024-04-08:498355|RUNNING_BILL:2024-06-11:498355|FINAL_BILL:2024-08-25:213581|RETENTION_RELEASE:2025-02-21:106790
ESK-1064,DIST_103,203,Work 65: DRINKING_WATER Project at Location 64,Synthetic work description for demo data import,DRINKING_WATER,2261957,0,2261957,2026-02-03,2026-03-07,2026-09-05,COMPLETED,100,true,Public Works Department (PWD),Location 64,28.613748,77.247097,false,false,
ESK-1065,DIST_103,201,Work 66: HEALTH Project at Location 65,Synthetic work description for demo data import,HEALTH,2749006,2749006,2749006,2023-02-09,2023-02-24,2023-09-06,COMPLETED,100,false,Rural Development Agency (DRDA),Location 65,28.527862,77.271357,false,true,MOBILISATION_ADVANCE:2023-04-03:412351|RUNNING_BILL:2023-06-15:962152|RUNNING_BILL:2023-08-02:962152|FINAL_BILL:2023-10-16:274901|RETENTION_RELEASE:2024-04-13:137450
ESK-1066,DIST_103,202,Work 67: SANITATION Project at Location 66,Synthetic work description for demo data import,SANITATION,1758534,1989541,1758534,2025-06-15,2025-07-04,2026-09-05,COMPLETED,100,true,Irrigation & Flood Control Dept,Location 66,28.623749,77.170674,true,false,MOBILISATION_ADVANCE:2025-08-09:263780|RUNNING_BILL:2025-11-25:615487|RUNNING_BILL:2026-02-20:615487|FINAL_BILL:2026-05-06:175853|RUNNING_BILL:2026-09-05:318934
ESK-1067,DIST_104,203,Work 68: ROADS_BRIDGES Project at Location 67,Synthetic work description for demo data import,ROADS_BRIDGES,3058101,3573610,3058101,2025-05-27,2025-06-20,2026-09-05,COMPLETED,100,true,Municipal Corporation,Location 67,28.723875,77.389062,false,false,MOBILISATION_ADVANCE:2025-07-30:458715|RUNNING_BILL:2026-09-05:3114895
ESK-1068,DIST_102,203,Work 69: EDUCATION Project at Location 68,Synthetic work description for demo data import,EDUCATION,3119636,3119635,3119636,2023-12-01,2024-01-13,2024-09-01,COMPLETED,100,false,Municipal Corporation,Location 68,28.515529,77.322426,true,false,MOBILISATION_ADVANCE:2024-02-03:467945|RUNNING_BILL:2024-06-06:545936|RUNNING_BILL:2024-08-26:545936|RUNNING_BILL:2024-10-21:545936|RUNNING_BILL:2024-12-17:545936|FINAL_BILL:2025-03-02:311964|RETENTION_RELEASE:2025-08-29:155982
